"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,0.6,-1,1,4,2,2,4,38294,619918102,38294,619918262,38294,619597265,38294,787684147
256,500,375,-2,0.6,-1,1,4,2,3,1,38294,877229566,38295,43158096,38294,876853462,38295,43244464
256,500,375,-2,0.6,-1,1,4,2,3,2,38294,877223998,38294,877224118,38294,876853462,38295,43244464
256,500,375,-2,0.6,-1,1,4,2,3,3,38294,877224581,38294,877224701,38294,876853462,38295,43244464
256,500,375,-2,0.6,-1,1,4,2,3,4,38294,877223590,38294,877223720,38294,876853462,38295,43244464
256,500,375,-2,0.6,-1,1,4,2,4,1,38295,133143097,38295,297425832,38295,132858851,38295,297512756
256,500,375,-2,0.6,-1,1,4,2,4,2,38295,133148950,38295,133149083,38295,132858851,38295,297512756
256,500,375,-2,0.6,-1,1,4,2,4,3,38295,133143860,38295,133143973,38295,132858851,38295,297512756
256,500,375,-2,0.6,-1,1,4,2,4,4,38295,133065731,38295,133065864,38295,132858851,38295,297512756
256,500,375,-2,0.6,-1,1,4,2,5,1,38295,387034810,38295,550507344,38295,386687158,38295,550605261
256,500,375,-2,0.6,-1,1,4,2,5,2,38295,386964125,38295,386964308,38295,386687158,38295,550605261
256,500,375,-2,0.6,-1,1,4,2,5,3,38295,387040500,38295,387040613,38295,386687158,38295,550605261
256,500,375,-2,0.6,-1,1,4,2,5,4,38295,387034504,38295,387034642,38295,386687158,38295,550605261
256,500,375,-2,0.6,-1,1,4,2,6,1,38295,640346062,38295,806696788,38295,639992825,38295,806786966
256,500,375,-2,0.6,-1,1,4,2,6,2,38295,640348379,38295,640348500,38295,639992825,38295,806786966
256,500,375,-2,0.6,-1,1,4,2,6,3,38295,640354613,38295,640354726,38295,639992825,38295,806786966
256,500,375,-2,0.6,-1,1,4,2,6,4,38295,640276149,38295,640276281,38295,639992825,38295,806786966
256,500,375,-2,0.6,-1,1,4,2,7,1,38295,896587125,38296,64541996,38295,896304230,38296,64637143
256,500,375,-2,0.6,-1,1,4,2,7,2,38295,896658135,38295,896658267,38295,896304230,38296,64637143
256,500,375,-2,0.6,-1,1,4,2,7,3,38295,896663445,38295,896663580,38295,896304230,38296,64637143
256,500,375,-2,0.6,-1,1,4,2,7,4,38295,896657869,38295,896658027,38295,896304230,38296,64637143
256,500,375,-2,0.6,-1,1,4,2,8,1,38296,153498133,38296,317597047,38296,153262594,38296,317684732
256,500,375,-2,0.6,-1,1,4,2,8,2,38296,153574886,38296,153575006,38296,153262594,38296,317684732
256,500,375,-2,0.6,-1,1,4,2,8,3,38296,153575073,38296,153575204,38296,153262594,38296,317684732
256,500,375,-2,0.6,-1,1,4,2,8,4,38296,153541200,38296,153541335,38296,153262594,38296,317684732
256,500,375,-2,0.6,-1,1,4,2,9,1,38296,405344123,38296,574681744,38296,405050139,38296,574767996
256,500,375,-2,0.6,-1,1,4,2,9,2,38296,405271346,38296,405271466,38296,405050139,38296,574767996
